WKN,Basiswert,Emittent,Typ,Bid,Ask,K.O.,Hebel,Laufzeit,Basis-preis,Abstand,Abstand in %,Risk/Reward
HS63Q2,Rheinmetall,TUB,Put,0.2,0.21,530.95,25.1,endlos,530.95,13.150000000000091,2.5395905755117987,0.5239043824701232
UM4G28,Rheinmetall,UBSL,Put,2.04,2.07,531.37,25.04,endlos,531.37,13.57000000000005,2.6207029741212926,0.5419329073482448
UM4L82,Rheinmetall,UBSL,Put,0.2,0.21,531.87,24.74,endlos,531.87,14.07000000000005,2.717265353418318,0.568714632174618
JK7W79,Rheinmetall,JPMBV,Put,2.08,2.1,531.89,24.62,endlos,531.89,14.090000000000032,2.7211278485901955,0.5722989439480111
UM4GSZ,Rheinmetall,UBSL,Put,2.09,2.12,531.87,24.45,endlos,531.87,14.07000000000005,2.717265353418318,0.5754601226993886
HD4X1L,Rheinmetall,UNCR,Put,2.12,2.14,531.96,24.16,endlos,531.96,14.160000000000082,2.7346465816917886,0.5860927152317915
GG7GSP,Rheinmetall,GS,Put,2.13,2.16,526.18,24.0,endlos,526.18,8.379999999999995,1.6183854770181532,0.34916666666666646
PC8QN5,Rheinmetall,BNP,Put,0.21,0.22,529.98,23.93,endlos,529.98,12.180000000000064,2.352259559675563,0.5089845382365259
PC8QN6,Rheinmetall,BNP,Put,0.21,0.22,530.98,23.93,endlos,530.98,13.180000000000064,2.5453843182696145,0.5507730881738431
UM4LAG,Rheinmetall,UBSL,Put,2.14,2.17,532.37,23.88,endlos,532.37,14.57000000000005,2.813827732715344,0.6101340033500858
VD4C86,Rheinmetall,VON,Put,2.15,2.17,531.85,23.82,endlos,531.85,14.050000000000068,2.713402858246441,0.5898404701931179
UM4K4N,Rheinmetall,UBSL,Put,0.21,0.22,532.87,23.61,endlos,532.87,15.07000000000005,2.91039011201237,0.6382888606522681
UM4DJQ,Rheinmetall,UBSL,Put,2.19,2.22,532.87,23.34,endlos,532.87,15.07000000000005,2.91039011201237,0.6456726649528728
SW88QH,Rheinmetall,scoge,Put,0.22,0.23,533.61,22.87,endlos,533.61,15.81000000000006,3.05330243337197,0.6912986445124643
PC8QN7,Rheinmetall,BNP,Put,0.22,0.23,531.98,22.87,endlos,531.98,14.180000000000064,2.7385090768636666,0.6200262352426787
PC8QN8,Rheinmetall,BNP,Put,0.22,0.23,532.98,22.87,endlos,532.98,15.180000000000064,2.9316338354577183,0.66375163970267
UM4BDK,Rheinmetall,UBSL,Put,2.24,2.27,533.37,22.82,endlos,533.37,15.57000000000005,3.006952491309396,0.6822962313759882
JK7W7B,Rheinmetall,JPMBV,Put,2.26,2.28,533.89,22.67,endlos,533.89,16.090000000000032,3.107377365778299,0.7097485663872973
DQ2XJU,Rheinmetall,DZ,Put,2.26,2.3,533.6,22.59,endlos,533.6,15.800000000000068,3.0513711857860315,0.6994245241257223
UM4KVQ,Rheinmetall,UBSL,Put,0.22,0.23,533.87,22.57,endlos,533.87,16.07000000000005,3.1035148706064217,0.7120070890562716
UM4DK2,Rheinmetall,UBSL,Put,2.29,2.32,533.87,22.33,endlos,533.87,16.07000000000005,3.1035148706064217,0.7196596506941357
JK6MKQ,Rheinmetall,JPMBV,Put,2.33,2.35,534.89,21.99,endlos,534.89,17.090000000000032,3.300502124372351,0.7771714415643489
PC8QN9,Rheinmetall,BNP,Put,0.23,0.24,533.98,21.9,endlos,533.98,16.180000000000064,3.12475859405177,0.7388127853881308
JK6MKY,Rheinmetall,JPMBV,Put,0.23,0.24,534.89,21.9,endlos,534.89,17.090000000000032,3.300502124372351,0.7803652968036545
UM4H4Z,Rheinmetall,UBSL,Put,2.34,2.37,534.37,21.85,endlos,534.37,16.57000000000005,3.2000772499034476,0.7583524027459977
UM4L7Q,Rheinmetall,UBSL,Put,0.23,0.24,534.87,21.62,endlos,534.87,17.07000000000005,3.2966396292004734,0.7895467160037025
UM38N8,Rheinmetall,UBSL,Put,2.39,2.42,534.87,21.4,endlos,534.87,17.07000000000005,3.2966396292004734,0.7976635514018715
HD4VN6,Rheinmetall,UNCR,Put,2.4,2.42,534.93,21.35,endlos,534.93,17.129999999999995,3.3082271147161055,0.802341920374707
VD4C88,Rheinmetall,VON,Put,2.44,2.46,534.85,21.0,endlos,534.85,17.050000000000068,3.2927771340285963,0.8119047619047651
SW9AWF,Rheinmetall,scoge,Put,0.24,0.25,535.62,21.0,endlos,535.62,17.82000000000005,3.4414831981460123,0.848571428571431
UM35DL,Rheinmetall,UBSL,Put,2.74,2.77,538.37,18.68,endlos,538.37,20.57000000000005,3.9725762842796546,1.1011777301927221
GG6ZCJ,Rheinmetall,GS,Put,2.76,2.79,532.08,18.54,endlos,532.08,14.280000000000086,2.757821552723076,0.7702265372168332
JK7W7D,Rheinmetall,JPMBV,Put,2.78,2.8,539.89,18.44,endlos,539.89,22.090000000000032,4.26612591734261,1.1979392624728866
UM38N6,Rheinmetall,UBSL,Put,2.79,2.82,538.87,18.35,endlos,538.87,21.07000000000005,4.06913866357668,1.14822888283379
DQ2UPG,Rheinmetall,DZ,Put,2.81,2.85,538.52,18.18,endlos,538.52,20.720000000000027,4.001544998068758,1.1397139713971411
HS62ZG,Rheinmetall,TUB,Put,0.28,0.29,540.26,18.06,endlos,540.26,22.460000000000036,4.337582078022409,1.2436323366555946
UM49SH,Rheinmetall,UBSL,Put,0.28,0.29,539.87,18.06,endlos,539.87,22.07000000000005,4.262263422170733,1.2220376522702132
PC8MY9,Rheinmetall,BNP,Put,0.28,0.29,538.98,18.06,endlos,538.98,21.180000000000064,4.090382387022029,1.17275747508306
JK6MKZ,Rheinmetall,JPMBV,Put,0.28,0.29,539.89,18.06,endlos,539.89,22.090000000000032,4.26612591734261,1.2231450719822832
UM4DK1,Rheinmetall,UBSL,Put,2.84,2.87,539.37,18.02,endlos,539.37,21.57000000000005,4.165701042873706,1.197003329633743
MG2N3Z,Rheinmetall,MSI,Put,2.89,2.91,539.98,17.74,endlos,539.98,22.180000000000064,4.28350714561608,1.2502818489289778
UM4EL4,Rheinmetall,UBSL,Put,2.89,2.92,539.87,17.71,endlos,539.87,22.07000000000005,4.262263422170733,1.2461885940146837
HD38QK,Rheinmetall,UNCR,Put,2.9,2.92,539.91,17.68,endlos,539.91,22.110000000000014,4.269988412514487,1.2505656108597294
PC8MZA,Rheinmetall,BNP,Put,0.29,0.3,539.98,17.44,endlos,539.98,22.180000000000064,4.28350714561608,1.2717889908256916
SW9AWG,Rheinmetall,scoge,Put,0.29,0.3,540.61,17.44,endlos,540.61,22.81000000000006,4.405175743530332,1.3079128440367005
UM4HZK,Rheinmetall,UBSL,Put,0.29,0.3,540.85,17.42,endlos,540.85,23.050000000000068,4.451525685592907,1.3231917336394987
UM4EKS,Rheinmetall,UBSL,Put,2.94,2.97,540.37,17.41,endlos,540.37,22.57000000000005,4.358825801467758,1.2963813900057466
JK6MKM,Rheinmetall,JPMBV,Put,2.95,2.97,541.89,17.39,endlos,541.89,24.090000000000032,4.652375434530713,1.3852788959171956
DQ21BU,Rheinmetall,DZ,Put,3.01,3.05,541.17,17.0,endlos,541.17,23.370000000000005,4.51332560834299,1.3747058823529414
VD4C9B,Rheinmetall,VON,Put,3.02,3.04,540.86,16.98,endlos,540.86,23.06000000000006,4.453456933178845,1.3580683156654922
UM4KB2,Rheinmetall,UBSL,Put,0.3,0.31,541.85,16.85,endlos,541.85,24.050000000000068,4.644650444186958,1.4272997032640988
UM4CEM,Rheinmetall,UBSL,Put,3.04,3.07,541.37,16.84,endlos,541.37,23.57000000000005,4.55195056006181,1.3996437054631858
HD4VN8,Rheinmetall,UNCR,Put,3.07,3.09,541.93,16.71,endlos,541.93,24.129999999999995,4.660100424874469,1.4440454817474562
UM34X9,Rheinmetall,UBSL,Put,3.09,3.12,540.85,16.57,endlos,540.85,23.050000000000068,4.451525685592907,1.3910681955341018
PC8MZB,Rheinmetall,BNP,Put,0.31,0.32,540.98,16.34,endlos,540.98,23.180000000000064,4.476631904210132,1.4186046511627945
UM4LDT,Rheinmetall,UBSL,Put,0.31,0.32,542.85,16.32,endlos,542.85,25.050000000000068,4.83777520278101,1.5349264705882395
JK6MKK,Rheinmetall,JPMBV,Put,3.15,3.17,543.89,16.28,endlos,543.89,26.090000000000032,5.038624951718817,1.6025798525798545
HD3J77,Rheinmetall,UNCR,Put,3.17,3.19,530.0,16.18,endlos,543.82,26.020000000000095,5.025106218617246,1.6081582200247277
UM38BB,Rheinmetall,UBSL,Put,3.19,3.22,541.85,16.06,endlos,541.85,24.050000000000068,4.644650444186958,1.4975093399750978
SW516H,Rheinmetall,scoge,Put,0.32,0.33,543.6,15.83,endlos,543.6,25.800000000000068,4.982618771726549,1.629816803537591
PC8MZF,Rheinmetall,BNP,Put,0.34,0.35,544.98,14.92,endlos,544.98,27.180000000000064,5.249130938586339,1.8217158176943742
GG7BNY,Rheinmetall,GS,Put,3.44,3.47,540.54,14.91,endlos,540.54,22.74000000000001,4.391657010428739,1.5251509054325962
